,domain,visibility_x,WoW growth,MoM growth,QoQ growth
0,amazon.it,11990980,-10.51%,-12.38%,1.72%
1,leroymerlin.it,5984681,4.22%,2.92%,1.9%
2,manomano.it,3685441,2.04%,16.36%,-7.65%
3,ebay.it,2045322,7.52%,23.68%,-10.78%
4,maisonsdumonde.com,352733,5.62%,0.4%,-26.39%
5,obi-italia.it,296753,7.06%,3.77%,-20.37%
6,ikea.com,70345,2.38%,-7.24%,-84.34%
7,aliexpress.com,20194,22.91%,57.75%,147.6%
