,domain,visibility_x,WoW growth,MoM growth,QoQ growth
0,amazon.es,11276641,11.9%,-3.73%,-0.61%
1,leroymerlin.es,5258810,-18.53%,-16.16%,-14.42%
2,manomano.es,2591772,4.83%,-3.38%,1.81%
3,bauhaus.es,978887,6.65%,21.66%,49.49%
4,elmueble.com,930650,3.61%,nan%,2.68%
5,ikea.com,784152,-28.59%,-21.43%,-21.11%
6,carrefour.es,453620,-11.98%,-7.84%,-27.12%
7,bricodepot.es,293601,-9.97%,-4.14%,-22.07%
8,maisonsdumonde.com,262169,-14.57%,-15.27%,-31.75%
9,aliexpress.com,260459,0.95%,26.69%,11.49%
10,bricomart.es,177498,-27.19%,-21.29%,10.34%
