,domain,visibility_y,WoW growth,MoM growth,QoQ growth
0,amazon.es,30622176,-1.88%,1.7%,1.16%
1,leroymerlin.es,14085933,-0.36%,0.56%,2.26%
2,manomano.es,7317507,-0.33%,2.1%,14.26%
3,ikea.com,1522154,-4.09%,0.41%,-7.21%
4,elmueble.com,1451024,-4.15%,-4.48%,-5.78%
5,bauhaus.es,1273838,-4.75%,3.57%,3.89%
6,carrefour.es,949912,18.03%,-33.39%,-34.75%
7,aliexpress.com,663536,0.74%,-1.53%,13.06%
8,bricodepot.es,499638,43.22%,-30.27%,-29.29%
9,bricomart.es,461284,-3.34%,4.86%,35.19%
10,maisonsdumonde.com,426757,-1.24%,4.98%,14.48%
