,domain,visibility_x,WoW growth,MoM growth,QoQ growth
0,leroymerlin.fr,14953316,-0.89%,-8.5%,-5.4%
1,amazon.fr,10997916,2.03%,11.09%,4.83%
2,manomano.fr,8872370,3.25%,11.1%,12.96%
3,cdiscount.com,6970413,2.41%,6.9%,8.05%
4,but.fr,4473766,-2.42%,-10.46%,-12.8%
5,castorama.fr,2996653,-2.82%,-4.57%,-12.9%
6,conforama.fr,2091175,-9.24%,-24.31%,-25.71%
7,laredoute.fr,1738349,1.3%,-9.26%,-19.31%
8,ikea.com,1289877,-4.6%,15.45%,-13.39%
9,bricodepot.fr,389661,1.63%,-1.69%,-16.42%
10,ebay.fr,230009,2.21%,-7.23%,6.66%
11,aliexpress.com,91163,1.85%,13.86%,80.78%
