,domain,visibility_x,WoW growth,MoM growth,QoQ growth
0,leroymerlin.fr,16471200,1.59%,0.59%,4.79%
1,amazon.fr,10023386,0.16%,-1.32%,-3.6%
2,manomano.fr,8076977,0.28%,2.34%,4.67%
3,cdiscount.com,6459806,-0.37%,-0.3%,-3.13%
4,but.fr,4943470,0.1%,-0.18%,-7.41%
5,castorama.fr,3499126,5.29%,5.74%,2.61%
6,conforama.fr,2801862,-0.13%,5.51%,15.12%
7,laredoute.fr,1988224,0.83%,1.08%,0.64%
8,ikea.com,1062916,-5.01%,-14.21%,-7.75%
9,bricodepot.fr,409700,2.41%,0.67%,1.84%
10,ebay.fr,235269,-0.55%,-7.52%,-5.21%
11,aliexpress.com,71693,-2.81%,-7.89%,-10.51%
