,domain,visibility_x,WoW growth,MoM growth,QoQ growth
0,amazon.co.uk,10512534,-1.94%,0.92%,2.87%
1,diy.com,8597827,0.7%,1.04%,2.34%
2,screwfix.com,7626197,1.82%,2.26%,-10.9%
3,argos.co.uk,5297968,0.14%,-0.96%,16.42%
4,wickes.co.uk,4527341,7.1%,11.46%,2.29%
5,therange.co.uk,3215054,-1.5%,-1.23%,11.34%
6,ikea.com,2192378,8.12%,-0.54%,-2.15%
7,wayfair.co.uk,2191681,-3.27%,12.89%,16.83%
8,toolstation.com,2054169,1.85%,8.69%,12.32%
9,homebase.co.uk,1602491,-4.06%,0.11%,-25.71%
10,dunelm.com,1386088,8.08%,26.63%,-26.22%
11,manomano.co.uk,813359,-0.53%,7.59%,34.41%
12,made.com,113307,44.55%,1.24%,5.83%
