,domain,visibility_x,WoW growth,MoM growth,QoQ growth
0,leroymerlin.fr,15471497,2.75%,2.54%,-0.18%
1,amazon.fr,11921806,1.45%,10.61%,13.64%
2,manomano.fr,8078158,-2.86%,-5.99%,6.74%
3,cdiscount.com,6858382,-0.29%,0.77%,4.13%
4,but.fr,4205920,7.16%,-8.26%,-21.37%
5,castorama.fr,3128207,2.62%,1.44%,-10.72%
6,conforama.fr,2461042,5.96%,6.81%,-3.55%
7,laredoute.fr,1707595,-0.2%,-0.49%,-10.26%
8,ikea.com,1244562,-7.54%,-7.95%,-3.92%
9,bricodepot.fr,351747,-3.2%,-8.26%,-13.5%
10,ebay.fr,287883,-2.41%,27.93%,16.99%
11,aliexpress.com,115110,-0.01%,28.6%,44.86%
