,domain,visibility_x,WoW growth,MoM growth,QoQ growth
0,amazon.it,13604074,1.47%,0.1%,12.51%
1,leroymerlin.it,6622689,0.05%,0.31%,6.11%
2,manomano.it,3772226,-0.33%,17.58%,-9.05%
3,ebay.it,2127625,-1.23%,18.16%,-16.83%
4,maisonsdumonde.com,357016,1.59%,-11.21%,-23.82%
5,obi-italia.it,348592,2.11%,-4.37%,-21.64%
6,ikea.com,82797,1.3%,-8.15%,-85.76%
7,aliexpress.com,18817,-3.46%,49.07%,98.01%
