,domain,visibility_x,WoW growth,MoM growth,QoQ growth
0,amazon.co.uk,17432061,20.65%,11.02%,15.53%
1,diy.com,9238768,-6.64%,-4.76%,-1.32%
2,screwfix.com,8937008,-10.48%,-4.03%,-17.83%
3,argos.co.uk,5781347,-2.23%,1.72%,19.8%
4,wickes.co.uk,4313641,-14.34%,-9.27%,-1.66%
5,therange.co.uk,3140056,-5.16%,-6.23%,7.09%
6,wayfair.co.uk,2342414,3.71%,11.22%,16.3%
7,toolstation.com,2161491,-7.98%,1.32%,5.76%
8,ikea.com,1400769,-40.32%,-34.02%,-36.47%
9,homebase.co.uk,1337426,-19.12%,-18.22%,-37.63%
10,dunelm.com,1122851,-18.38%,-2.11%,-48.18%
11,manomano.co.uk,937266,15.28%,20.64%,36.3%
12,made.com,55898,-33.8%,-52.75%,-50.2%
