,domain,visibility_y,WoW growth,MoM growth,QoQ growth
0,amazon.it,30134671,0.63%,-3.16%,0.24%
1,leroymerlin.it,13501261,0.19%,32.28%,13.29%
2,manomano.it,10921266,-0.58%,-4.18%,4.03%
3,ebay.it,7402621,2.17%,10.14%,13.88%
4,obi-italia.it,700829,1.18%,-0.04%,3.58%
5,maisonsdumonde.com,494264,-4.88%,-12.28%,3.77%
6,ikea.com,40970,-4.71%,19.09%,-93.44%
7,aliexpress.com,8343,-14.47%,-4.62%,-8.39%
