,domain,visibility_x,WoW growth,MoM growth,QoQ growth
0,amazon.de,15723244,0.55%,1.8%,-5.0%
1,obi.de,11553057,2.47%,0.63%,11.95%
2,hornbach.de,7208338,0.47%,1.21%,-1.85%
3,ebay.de,4632287,-0.54%,0.25%,-6.29%
4,kaufland.de,4444144,0.26%,3.33%,13.62%
5,bauhaus.info,3058907,0.62%,-2.88%,10.15%
6,manomano.de,1510702,-0.18%,0.7%,7.19%
7,toom.de,651420,2.09%,4.79%,15.29%
8,hagebau.de,368883,-1.78%,-0.06%,9.63%
9,globus-baumarkt.de,320467,4.96%,7.88%,10.43%
