,domain,visibility_x,WoW growth,MoM growth,QoQ growth
0,leroymerlin.fr,16342315,-0.2%,4.37%,4.05%
1,amazon.fr,9900451,-2.53%,-1.09%,-5.97%
2,manomano.fr,7985649,1.18%,-1.49%,7.31%
3,cdiscount.com,6520660,0.64%,1.37%,-2.89%
4,but.fr,4996343,0.89%,-2.2%,-6.9%
5,castorama.fr,3140040,-5.11%,-9.01%,-6.25%
6,conforama.fr,2762841,4.04%,6.56%,12.99%
7,laredoute.fr,1915776,-2.6%,0.37%,1.93%
8,ikea.com,1117293,-9.82%,-3.71%,-8.28%
9,bricodepot.fr,396372,-2.61%,-1.05%,-3.08%
10,ebay.fr,247929,-2.55%,0.98%,2.44%
11,aliexpress.com,80068,2.87%,-2.61%,5.41%
