,domain,visibility_x,WoW growth,MoM growth,QoQ growth
0,amazon.co.uk,15897877,0.69%,22.45%,11.43%
1,diy.com,11293475,0.53%,-2.61%,3.5%
2,screwfix.com,10515308,0.03%,-18.19%,-12.34%
3,argos.co.uk,6887226,1.93%,5.41%,14.81%
4,wickes.co.uk,5649122,4.13%,-5.63%,-4.67%
5,therange.co.uk,3828199,0.99%,14.28%,20.66%
6,toolstation.com,2675107,0.26%,2.13%,-0.26%
7,wayfair.co.uk,2565711,5.55%,-8.77%,-6.99%
8,ikea.com,2349050,-3.31%,7.81%,-11.42%
9,homebase.co.uk,1967134,-0.18%,-30.51%,-26.41%
10,dunelm.com,1315061,4.75%,-40.37%,-40.19%
11,manomano.co.uk,1060147,1.12%,7.8%,8.22%
12,made.com,118953,5.49%,18.73%,-0.49%
