,domain,visibility_y,WoW growth,MoM growth,QoQ growth
0,leroymerlin.fr,33938765,-1.36%,3.55%,5.2%
1,amazon.fr,26772284,5.92%,7.41%,2.19%
2,manomano.fr,18482777,-1.35%,-2.77%,9.84%
3,cdiscount.com,15374325,-4.42%,-0.81%,-10.83%
4,but.fr,7853236,3.15%,-1.18%,-4.17%
5,castorama.fr,6018223,4.41%,2.04%,-3.18%
6,laredoute.fr,3738353,-6.15%,-7.78%,-6.21%
7,conforama.fr,3283545,-0.98%,0.82%,2.96%
8,ikea.com,1246928,-12.92%,-9.44%,-7.16%
9,bricodepot.fr,544764,1.54%,0.12%,-9.18%
10,ebay.fr,454946,-6.29%,-3.97%,-1.0%
11,aliexpress.com,108416,-0.82%,-8.33%,36.76%
