,domain,visibility_x,WoW growth,MoM growth,QoQ growth
0,amazon.de,17557786,-1.88%,13.84%,10.61%
1,obi.de,11391179,1.54%,-0.43%,1.78%
2,hornbach.de,6668221,-3.11%,-8.33%,-11.33%
3,ebay.de,5002176,1.6%,6.41%,-9.63%
4,kaufland.de,3448357,4.16%,-22.53%,0.97%
5,bauhaus.info,2780770,0.51%,-8.28%,11.74%
6,manomano.de,1455829,3.98%,-1.96%,13.95%
7,toom.de,619594,-2.88%,-2.2%,15.01%
8,hagebau.de,464919,3.54%,22.92%,53.72%
9,globus-baumarkt.de,286798,6.69%,-1.03%,5.98%
