,domain,visibility_x,WoW growth,MoM growth,QoQ growth
0,leroymerlin.fr,11483139,3.46%,6.56%,2.18%
1,amazon.fr,7433400,-6.34%,1.52%,5.88%
2,manomano.fr,5412736,-2.59%,-10.71%,1.22%
3,cdiscount.com,4818737,0.97%,-0.21%,29.44%
4,but.fr,3706135,6.57%,0.28%,-14.56%
5,castorama.fr,2546496,3.24%,8.74%,-4.33%
6,conforama.fr,2152139,-0.63%,15.48%,-6.7%
7,laredoute.fr,1283344,4.67%,2.66%,-15.61%
8,ikea.com,1105955,-0.19%,-3.1%,6.58%
9,bricodepot.fr,319861,12.42%,1.14%,-3.13%
10,ebay.fr,209578,5.63%,31.36%,23.94%
11,aliexpress.com,87549,10.51%,39.29%,47.85%
