,domain,visibility_x,WoW growth,MoM growth,QoQ growth
0,amazon.de,15547126,-1.12%,0.81%,-7.74%
1,obi.de,11716479,1.41%,2.42%,11.61%
2,hornbach.de,6976007,-3.22%,-4.1%,-4.06%
3,ebay.de,4620676,-0.25%,-1.7%,-3.76%
4,kaufland.de,4596461,3.43%,3.26%,13.24%
5,bauhaus.info,3080218,0.7%,1.59%,11.37%
6,manomano.de,1585473,4.95%,6.77%,12.42%
7,toom.de,662874,1.76%,4.63%,12.47%
8,hagebau.de,387234,4.97%,2.38%,7.68%
9,globus-baumarkt.de,318840,-0.51%,10.03%,7.74%
