,domain,visibility_x,WoW growth,MoM growth,QoQ growth
0,amazon.es,7614574,-9.19%,-8.69%,-4.62%
1,leroymerlin.es,5764760,4.26%,2.66%,8.23%
2,manomano.es,2003876,7.12%,-6.93%,-1.17%
3,ikea.com,1098095,10.41%,10.03%,4.01%
4,bauhaus.es,910192,4.9%,14.1%,44.76%
5,elmueble.com,898238,-0.56%,1.83%,-0.54%
6,carrefour.es,512888,5.39%,4.57%,-46.03%
7,bricodepot.es,326100,5.3%,6.47%,-15.65%
8,maisonsdumonde.com,306883,6.2%,-0.82%,-13.15%
9,aliexpress.com,252979,12.01%,26.12%,18.06%
10,bricomart.es,243788,14.85%,8.11%,64.67%
