,domain,visibility_x,WoW growth,MoM growth,QoQ growth
0,amazon.co.uk,13139752,-1.88%,-1.52%,-15.3%
1,screwfix.com,12621086,-0.07%,-0.03%,4.6%
2,diy.com,11718076,14.0%,0.21%,5.39%
3,argos.co.uk,6301329,-2.44%,-3.12%,9.41%
4,wickes.co.uk,6009154,-0.9%,-8.37%,2.62%
5,therange.co.uk,3503384,1.24%,-4.14%,3.84%
6,homebase.co.uk,2828487,-0.55%,-1.6%,7.63%
7,toolstation.com,2659290,0.59%,-4.42%,3.62%
8,wayfair.co.uk,2469523,-2.75%,-4.66%,3.81%
9,ikea.com,2296666,-4.74%,0.33%,-6.33%
10,dunelm.com,2084862,1.24%,-10.08%,-1.93%
11,manomano.co.uk,1001601,0.44%,3.96%,20.89%
12,made.com,111157,-4.36%,0.82%,3.09%
