,domain,visibility_x,WoW growth,MoM growth,QoQ growth
0,amazon.co.uk,16014018,-1.62%,1.43%,7.36%
1,diy.com,11282290,0.95%,0.43%,2.42%
2,screwfix.com,10723867,1.83%,2.01%,-9.52%
3,argos.co.uk,6695897,-0.06%,-0.9%,20.37%
4,wickes.co.uk,6004365,6.71%,10.68%,10.17%
5,therange.co.uk,3770865,-0.6%,-0.52%,10.54%
6,toolstation.com,2904743,1.75%,8.86%,16.67%
7,wayfair.co.uk,2729306,-3.03%,12.28%,14.35%
8,ikea.com,2400595,7.42%,-1.18%,4.32%
9,homebase.co.uk,1961448,-3.65%,-0.47%,-19.33%
10,dunelm.com,1567979,7.42%,24.9%,-23.17%
11,manomano.co.uk,1135588,-0.71%,8.31%,40.16%
12,made.com,113623,44.28%,0.77%,37.3%
