,domain,visibility_y,WoW growth,MoM growth,QoQ growth
0,amazon.de,39890067,0.94%,-2.8%,-1.0%
1,obi.de,19526301,-6.39%,0.85%,4.68%
2,hornbach.de,13639515,4.17%,1.15%,1.16%
3,ebay.de,12532972,-4.13%,-7.24%,-12.12%
4,kaufland.de,7082390,-0.42%,11.11%,-6.04%
5,bauhaus.info,4866490,-3.57%,4.31%,16.76%
6,manomano.de,3602603,4.7%,11.78%,14.18%
7,toom.de,1043329,-0.34%,12.74%,12.77%
8,hagebau.de,481491,-7.22%,-2.85%,15.62%
9,globus-baumarkt.de,403002,-0.74%,2.73%,6.17%
