,domain,visibility_x,WoW growth,MoM growth,QoQ growth
0,amazon.it,12927195,7.81%,-5.54%,4.96%
1,leroymerlin.it,5296072,-11.51%,-8.92%,20.74%
2,manomano.it,3891022,5.58%,22.85%,-8.89%
3,ebay.it,2118098,3.56%,28.09%,-8.94%
4,obi-italia.it,258987,-12.73%,-9.44%,-33.46%
5,maisonsdumonde.com,208409,-40.92%,-40.68%,-59.01%
6,ikea.com,71321,1.39%,-5.95%,139.38%
7,aliexpress.com,24012,18.91%,87.58%,187.53%
