,domain,visibility_x,WoW growth,MoM growth,QoQ growth
0,amazon.es,12538096,3.05%,2.79%,5.68%
1,leroymerlin.es,7542068,-0.45%,0.01%,-1.5%
2,manomano.es,3093674,-1.1%,0.87%,-11.85%
3,ikea.com,1265523,-0.71%,2.29%,-3.39%
4,elmueble.com,1079049,-8.71%,-2.26%,-8.87%
5,bauhaus.es,994078,14.52%,15.48%,35.51%
6,carrefour.es,591306,-21.61%,-16.27%,-47.91%
7,bricomart.es,533260,30.13%,33.69%,74.05%
8,bricodepot.es,371042,15.57%,-9.29%,-34.5%
9,maisonsdumonde.com,360090,-17.94%,-13.05%,-5.85%
10,aliexpress.com,298570,-8.96%,-8.94%,17.6%
