,domain,visibility_x,WoW growth,MoM growth,QoQ growth
0,amazon.it,11870471,-3.05%,-0.55%,-0.66%
1,leroymerlin.it,7383209,3.38%,6.17%,11.7%
2,manomano.it,4322178,3.34%,1.03%,6.23%
3,ebay.it,2767627,4.3%,1.04%,13.09%
4,obi-italia.it,493416,4.26%,3.6%,3.6%
5,maisonsdumonde.com,484872,-1.73%,-3.18%,1.85%
6,ikea.com,47393,2.72%,14.22%,-91.2%
7,aliexpress.com,9242,12.96%,-5.26%,-0.09%
