,domain,visibility_x,WoW growth,MoM growth,QoQ growth
0,amazon.co.uk,9860026,-6.21%,-5.7%,-4.87%
1,diy.com,8734608,1.59%,2.11%,4.46%
2,screwfix.com,8013748,5.08%,7.69%,-7.46%
3,argos.co.uk,5665776,6.94%,3.81%,25.17%
4,wickes.co.uk,4526062,-0.03%,5.6%,6.17%
5,therange.co.uk,3238251,0.72%,-1.34%,6.5%
6,ikea.com,2346951,7.05%,10.55%,12.02%
7,wayfair.co.uk,2211673,0.91%,6.72%,16.28%
8,toolstation.com,2076293,1.08%,9.28%,14.56%
9,homebase.co.uk,1621147,1.16%,1.02%,-25.17%
10,dunelm.com,1375783,-0.74%,19.94%,-21.4%
11,manomano.co.uk,792008,-2.63%,3.73%,32.2%
12,made.com,84443,-25.47%,-28.63%,-20.61%
