,domain,visibility_x,WoW growth,MoM growth,QoQ growth
0,leroymerlin.fr,15087652,-8.4%,-6.74%,-8.05%
1,amazon.fr,10778628,7.53%,-0.34%,1.62%
2,manomano.fr,8593048,6.39%,10.66%,6.68%
3,cdiscount.com,6806066,5.36%,8.63%,2.23%
4,but.fr,4584730,-7.26%,-10.97%,-6.42%
5,castorama.fr,3083765,-11.87%,-11.62%,-8.0%
6,conforama.fr,2304042,-17.77%,-11.53%,-19.96%
7,laredoute.fr,1715985,-13.69%,-6.87%,-23.68%
8,ikea.com,1352066,27.2%,27.73%,-18.27%
9,bricodepot.fr,383420,-6.41%,-6.34%,-27.18%
10,ebay.fr,225040,-4.35%,-5.38%,-13.9%
11,aliexpress.com,89510,24.85%,14.58%,39.98%
