,domain,visibility_x,WoW growth,MoM growth,QoQ growth
0,amazon.de,18054827,-0.81%,0.9%,10.64%
1,obi.de,11071163,-0.19%,-1.31%,7.53%
2,hornbach.de,6763002,5.61%,-1.73%,-7.46%
3,ebay.de,5166156,-4.66%,4.93%,4.84%
4,kaufland.de,3170261,0.4%,-4.24%,-18.74%
5,bauhaus.info,2709386,-0.55%,-2.07%,-2.77%
6,manomano.de,1593319,-0.65%,13.8%,14.92%
7,toom.de,577709,2.8%,-9.44%,0.69%
8,hagebau.de,453049,6.62%,0.9%,35.58%
9,globus-baumarkt.de,250971,3.49%,-6.64%,-16.61%
