,domain,visibility_x,WoW growth,MoM growth,QoQ growth
0,leroymerlin.fr,14373159,-4.66%,2.95%,-1.85%
1,amazon.fr,11937010,16.35%,15.47%,24.8%
2,manomano.fr,8574182,15.95%,3.76%,15.48%
3,cdiscount.com,7564983,7.31%,6.13%,16.08%
4,but.fr,3088738,-19.42%,-19.3%,-31.15%
5,castorama.fr,2107060,-23.75%,-16.81%,-27.81%
6,conforama.fr,1820924,-15.96%,-2.65%,-21.07%
7,laredoute.fr,1506774,8.05%,11.17%,-4.75%
8,ikea.com,1098887,-0.64%,-3.72%,7.38%
9,bricodepot.fr,364601,13.99%,15.28%,9.09%
10,ebay.fr,231789,7.01%,42.8%,32.56%
11,aliexpress.com,97846,11.76%,55.68%,61.76%
