,domain,visibility_y,WoW growth,MoM growth,QoQ growth
0,amazon.co.uk,34715789,1.46%,-11.91%,-13.7%
1,screwfix.com,27397450,-0.69%,4.54%,5.57%
2,diy.com,21597535,0.71%,6.87%,4.83%
3,wickes.co.uk,12298510,8.84%,21.41%,12.81%
4,argos.co.uk,10539820,0.43%,10.45%,12.38%
5,toolstation.com,5859967,5.68%,7.8%,8.05%
6,therange.co.uk,5106293,8.24%,8.96%,4.72%
7,homebase.co.uk,4395494,2.17%,12.78%,11.63%
8,wayfair.co.uk,4165116,-5.74%,3.11%,6.36%
9,dunelm.com,2769619,7.11%,-3.52%,6.45%
10,ikea.com,2521937,4.14%,-5.09%,-3.66%
11,manomano.co.uk,1607326,-2.49%,3.87%,23.41%
12,made.com,110253,10.05%,-2.47%,17.26%
