,domain,visibility_x,WoW growth,MoM growth,QoQ growth
1,amazon.es,12563533,0.2%,2.69%,4.81%
3,leroymerlin.es,7630446,1.17%,2.03%,-1.66%
5,manomano.es,3160847,2.17%,3.07%,-7.86%
7,ikea.com,1213348,-4.12%,-3.06%,-13.5%
9,elmueble.com,1114959,3.33%,-3.67%,-6.77%
10,bauhaus.es,1036729,4.29%,16.59%,39.53%
13,carrefour.es,600348,1.53%,-9.75%,-45.36%
15,bricomart.es,565406,6.03%,44.15%,63.22%
17,bricodepot.es,384801,3.71%,25.26%,-34.65%
19,maisonsdumonde.com,340793,-5.36%,-17.24%,-10.46%
21,aliexpress.com,303808,1.75%,-13.87%,16.91%
