,domain,visibility_x,WoW growth,MoM growth,QoQ growth
0,amazon.co.uk,15788797,20.16%,2.87%,10.86%
1,diy.com,11234068,-4.13%,0.67%,2.98%
2,screwfix.com,10512256,-16.71%,-14.79%,-14.0%
3,argos.co.uk,6756540,7.22%,11.38%,12.61%
4,wickes.co.uk,5424921,-9.72%,-16.4%,-7.94%
5,therange.co.uk,3790759,8.2%,3.58%,19.84%
6,toolstation.com,2668274,0.34%,1.33%,3.74%
7,wayfair.co.uk,2430761,-1.57%,3.03%,-11.02%
8,ikea.com,2429358,5.78%,7.53%,-9.71%
9,homebase.co.uk,1970718,-30.33%,-25.04%,-22.41%
10,dunelm.com,1255386,-39.79%,-44.43%,-37.19%
11,manomano.co.uk,1048431,4.68%,17.07%,9.75%
12,made.com,112759,1.44%,30.36%,7.93%
