,domain,visibility_x,WoW growth,MoM growth,QoQ growth
0,amazon.es,12167356,0.91%,-1.56%,1.78%
1,leroymerlin.es,7576479,-0.06%,-0.06%,2.08%
2,manomano.es,3128078,0.79%,1.57%,3.59%
3,ikea.com,1274563,3.23%,-1.06%,-3.79%
4,elmueble.com,1182058,-0.22%,2.81%,3.39%
5,bauhaus.es,868026,-1.78%,-4.19%,6.62%
6,carrefour.es,754352,16.3%,24.27%,-31.57%
7,maisonsdumonde.com,438818,0.26%,4.69%,19.8%
8,bricomart.es,409798,-0.0%,-1.5%,31.2%
9,aliexpress.com,327963,-3.88%,1.71%,1.89%
10,bricodepot.es,321061,4.97%,2.72%,-35.49%
