,domain,visibility_y,WoW growth,MoM growth,QoQ growth
0,amazon.de,39518681,-0.31%,-2.7%,-0.99%
1,obi.de,20859245,0.33%,8.83%,11.93%
2,hornbach.de,13093900,-1.38%,-2.71%,-0.34%
3,ebay.de,13072478,-1.13%,-1.49%,-2.95%
4,kaufland.de,7112452,-3.95%,0.05%,-2.1%
5,bauhaus.info,5046891,3.72%,10.67%,17.22%
6,manomano.de,3440944,0.73%,0.32%,14.85%
7,toom.de,1046908,-3.76%,12.38%,13.18%
8,hagebau.de,518935,-3.73%,4.52%,18.46%
9,globus-baumarkt.de,406023,2.59%,5.68%,8.52%
