,domain,visibility
0,amazon.de,11661149
1,bauhaus.info,2181775
2,ebay.de,3444641
3,globus-baumarkt.de,199201
4,hagebau.de,374230
5,hornbach.de,5223395
6,kaufland.de,2313888
7,manomano.de,1126218
8,obi.de,8413044
9,toom.de,457097
