,domain,visibility
0,amazon.de,15637143
1,bauhaus.info,3040150
2,ebay.de,4657286
3,globus-baumarkt.de,305327
4,hagebau.de,375578
5,hornbach.de,7174322
6,kaufland.de,4432488
7,manomano.de,1513365
8,obi.de,11274362
9,toom.de,638090
