,domain,visibility
0,amazon.de,16551207
1,bauhaus.info,2776974
2,ebay.de,4943418
3,globus-baumarkt.de,290190
4,hagebau.de,336486
5,hornbach.de,7344393
6,kaufland.de,3911493
7,manomano.de,1409388
8,obi.de,10320117
9,toom.de,565027
