,domain,visibility
0,aliexpress.com,326641
1,amazon.es,12468645
2,bauhaus.es,1068013
3,bricodepot.es,400466
4,bricomart.es,572010
5,carrefour.es,593724
6,elmueble.com,1111655
7,ikea.com,1201326
8,leroymerlin.es,7622488
9,maisonsdumonde.com,331349
10,manomano.es,3129917
