,domain,visibility
0,aliexpress.com,327963
1,amazon.es,12167356
2,bauhaus.es,868026
3,bricodepot.es,321061
4,bricomart.es,409798
5,carrefour.es,754352
6,elmueble.com,1182058
7,ikea.com,1274563
8,leroymerlin.es,7576479
9,maisonsdumonde.com,438818
10,manomano.es,3128078
