,domain,visibility
0,aliexpress.com,658653
1,amazon.es,31207791
2,bauhaus.es,1337314
3,bricodepot.es,348849
4,bricomart.es,477230
5,carrefour.es,804815
6,elmueble.com,1513860
7,ikea.com,1586997
8,leroymerlin.es,14137534
9,maisonsdumonde.com,432097
10,manomano.es,7341532
