,domain,visibility
0,amazon.co.uk,14916799
1,argos.co.uk,5562816
2,diy.com,11015616
3,dunelm.com,2040777
4,homebase.co.uk,2431417
5,ikea.com,2301082
6,made.com,82757
7,manomano.co.uk,810236
8,screwfix.com,11852199
9,therange.co.uk,3411284
10,toolstation.com,2489697
11,wayfair.co.uk,2386888
12,wickes.co.uk,5450072
