,domain,visibility
0,amazon.co.uk,12983136
1,argos.co.uk,6533825
2,diy.com,11596302
3,dunelm.com,2205335
4,homebase.co.uk,2830710
5,ikea.com,2178955
6,made.com,100185
7,manomano.co.uk,983408
8,screwfix.com,12852715
9,therange.co.uk,3349824
10,toolstation.com,2619257
11,wayfair.co.uk,2812427
12,wickes.co.uk,5986101
