,domain,visibility
0,amazon.co.uk,10416545
1,argos.co.uk,5349165
2,diy.com,8509492
3,dunelm.com,1094561
4,homebase.co.uk,1600754
5,ikea.com,2204338
6,made.com,111922
7,manomano.co.uk,756001
8,screwfix.com,7457815
9,therange.co.uk,3255041
10,toolstation.com,1889884
11,wayfair.co.uk,1941485
12,wickes.co.uk,4062001
