,domain,visibility
0,amazon.co.uk,17432061
1,argos.co.uk,5781347
2,diy.com,9238768
3,dunelm.com,1122851
4,homebase.co.uk,1337426
5,ikea.com,1400769
6,made.com,55898
7,manomano.co.uk,937266
8,screwfix.com,8937008
9,therange.co.uk,3140056
10,toolstation.com,2161491
11,wayfair.co.uk,2342414
12,wickes.co.uk,4313641
