,domain,visibility
0,amazon.co.uk,10455728
1,argos.co.uk,5457947
2,diy.com,8554377
3,dunelm.com,1147065
4,homebase.co.uk,1604740
5,ikea.com,2123064
6,made.com,118309
7,manomano.co.uk,763518
8,screwfix.com,7441750
9,therange.co.uk,3282301
10,toolstation.com,1899896
11,wayfair.co.uk,2072398
12,wickes.co.uk,4285921
