,domain,visibility
0,amazon.co.uk,10218819
1,argos.co.uk,4550921
2,diy.com,8401023
3,dunelm.com,1878708
4,homebase.co.uk,2156965
5,ikea.com,2240436
6,made.com,107063
7,manomano.co.uk,605142
8,screwfix.com,8558745
9,therange.co.uk,2887723
10,toolstation.com,1828913
11,wayfair.co.uk,1876034
12,wickes.co.uk,4426107
