,domain,visibility
0,amazon.co.uk,15088926
1,argos.co.uk,4825779
2,diy.com,9361924
3,dunelm.com,2166911
4,homebase.co.uk,2144371
5,ikea.com,2204915
6,made.com,112249
7,manomano.co.uk,687665
8,screwfix.com,10876216
9,therange.co.uk,2932293
10,toolstation.com,2043858
11,wayfair.co.uk,2014124
12,wickes.co.uk,4386255
