,domain,visibility
0,amazon.co.uk,10720427
1,argos.co.uk,5290723
2,diy.com,8537931
3,dunelm.com,1282481
4,homebase.co.uk,1670340
5,ikea.com,2027734
6,made.com,78387
7,manomano.co.uk,817674
8,screwfix.com,7489833
9,therange.co.uk,3263871
10,toolstation.com,2016864
11,wayfair.co.uk,2265860
12,wickes.co.uk,4227401
