,domain,visibility
0,aliexpress.com,16430
1,amazon.it,9047318
2,ebay.it,1399985
3,ikea.com,68709
4,leroymerlin.it,4932897
5,maisonsdumonde.com,333978
6,manomano.it,2535630
7,obi-italia.it,277178
