,domain,visibility
0,aliexpress.com,12623
1,amazon.it,13590706
2,ebay.it,1800687
3,ikea.com,90146
4,leroymerlin.it,6602509
5,maisonsdumonde.com,402086
6,manomano.it,3208136
7,obi-italia.it,364536
