,domain,visibility
0,aliexpress.com,9689
1,amazon.it,12024648
2,ebay.it,2503531
3,ikea.com,571819
4,leroymerlin.it,6365300
5,maisonsdumonde.com,465743
6,manomano.it,4166539
7,obi-italia.it,452399
