,date,Ranking range,count,Share
0,2022-01-17,top 10,47752,36.73%
1,2022-01-17,top 20,2409,1.85%
2,2022-01-17,top 3,79839,61.41%
3,2022-04-18,top 10,55312,42.55%
4,2022-04-18,top 20,3304,2.54%
5,2022-04-18,top 3,71384,54.91%
6,2022-05-16,top 10,54859,42.2%
7,2022-05-16,top 20,3532,2.72%
8,2022-05-16,top 3,71609,55.08%
9,2022-05-30,top 10,54719,42.09%
10,2022-05-30,top 20,3102,2.39%
11,2022-05-30,top 3,72179,55.52%
