,date,Ranking range,count,Share
0,2022-01-31,top 10,36916,28.4%
1,2022-01-31,top 20,1511,1.16%
2,2022-01-31,top 3,91573,70.44%
3,2022-05-02,top 10,41165,31.67%
4,2022-05-02,top 20,1432,1.1%
5,2022-05-02,top 3,87403,67.23%
6,2022-05-30,top 10,51112,39.32%
7,2022-05-30,top 20,1425,1.1%
8,2022-05-30,top 3,77463,59.59%
9,2022-06-06,top 10,49598,38.15%
10,2022-06-06,top 20,1301,1.0%
11,2022-06-06,top 3,79101,60.85%
