,date,Ranking range,count,Share
0,2022-03-21,Sup top 20,31516,62.1%
1,2022-03-21,top 10,8157,16.07%
2,2022-03-21,top 20,7357,14.5%
3,2022-03-21,top 3,2052,4.04%
4,2022-05-02,Sup top 20,31584,62.23%
5,2022-05-02,top 10,8330,16.41%
6,2022-05-02,top 20,7997,15.76%
7,2022-05-02,top 3,2763,5.44%
8,2022-05-16,Sup top 20,31903,62.86%
9,2022-05-16,top 10,8428,16.61%
10,2022-05-16,top 20,8464,16.68%
11,2022-05-16,top 3,2816,5.55%
12,2022-05-23,Sup top 20,31732,62.53%
13,2022-05-23,top 10,8453,16.66%
14,2022-05-23,top 20,8539,16.83%
15,2022-05-23,top 3,2910,5.73%
