,date,Ranking range,count,Share
0,2022-01-17,top 10,38231,29.41%
1,2022-01-17,top 20,1861,1.43%
2,2022-01-17,top 3,89908,69.16%
3,2022-04-18,top 10,40098,30.84%
4,2022-04-18,top 20,1748,1.34%
5,2022-04-18,top 3,88154,67.81%
6,2022-05-16,top 10,39850,30.65%
7,2022-05-16,top 20,1547,1.19%
8,2022-05-16,top 3,88603,68.16%
9,2022-05-30,top 10,34994,26.92%
10,2022-05-30,top 20,1478,1.14%
11,2022-05-30,top 3,93528,71.94%
