,date,Ranking range,count,Share
0,2022-01-17,top 10,38008,29.24%
1,2022-01-17,top 20,1333,1.03%
2,2022-01-17,top 3,90659,69.74%
3,2022-04-11,top 10,959,0.74%
4,2022-04-11,top 20,50,0.04%
5,2022-04-11,top 3,2709,2.08%
6,2022-04-18,top 10,40074,30.83%
7,2022-04-18,top 20,1470,1.13%
8,2022-04-18,top 3,84738,65.18%
9,2022-05-16,top 10,41733,32.1%
10,2022-05-16,top 20,1425,1.1%
11,2022-05-16,top 3,86842,66.8%
12,2022-05-30,top 10,51112,39.32%
13,2022-05-30,top 20,1425,1.1%
14,2022-05-30,top 3,77463,59.59%
