,date,Ranking range,count,Share
0,2022-03-21,11-20,1697,1.31%
1,2022-03-21,4-10,37797,29.07%
2,2022-03-21,top 3,90506,69.62%
3,2022-06-06,11-20,1431,1.1%
4,2022-06-06,4-10,33673,25.9%
5,2022-06-06,top 3,94896,73.0%
6,2022-06-20,11-20,1407,1.08%
7,2022-06-20,4-10,40384,31.06%
8,2022-06-20,top 3,88209,67.85%
9,2022-06-27,11-20,1371,1.05%
10,2022-06-27,4-10,40763,31.36%
11,2022-06-27,top 3,87866,67.59%
