,date,Ranking range,count,Share
0,2022-03-14,Sup top 20,31405,61.76%
1,2022-03-14,top 10,8223,16.17%
2,2022-03-14,top 20,7403,14.56%
3,2022-03-14,top 3,2136,4.2%
4,2022-04-25,Sup top 20,31962,62.85%
5,2022-04-25,top 10,8299,16.32%
6,2022-04-25,top 20,8178,16.08%
7,2022-04-25,top 3,2656,5.22%
8,2022-05-09,Sup top 20,31987,62.9%
9,2022-05-09,top 10,8377,16.47%
10,2022-05-09,top 20,8376,16.47%
11,2022-05-09,top 3,2797,5.5%
12,2022-05-16,Sup top 20,31903,62.74%
13,2022-05-16,top 10,8428,16.57%
14,2022-05-16,top 20,8464,16.64%
15,2022-05-16,top 3,2816,5.54%
