,date,Ranking range,count,Share
0,2022-03-21,11-20,3550,2.73%
1,2022-03-21,4-10,58032,44.64%
2,2022-03-21,top 3,68418,52.63%
3,2022-06-06,11-20,2841,2.19%
4,2022-06-06,4-10,54786,42.14%
5,2022-06-06,top 3,72373,55.67%
6,2022-06-20,11-20,3627,2.79%
7,2022-06-20,4-10,62931,48.41%
8,2022-06-20,top 3,63442,48.8%
9,2022-06-27,11-20,3132,2.41%
10,2022-06-27,4-10,52677,40.52%
11,2022-06-27,top 3,74191,57.07%
