,date,Ranking range,count,Share
0,2022-01-17,Sup top 20,9499,7.31%
1,2022-01-17,top 10,54144,41.65%
2,2022-01-17,top 20,57798,44.46%
3,2022-01-17,top 3,8559,6.58%
4,2022-04-18,Sup top 20,7200,5.54%
5,2022-04-18,top 10,57205,44.0%
6,2022-04-18,top 20,57093,43.92%
7,2022-04-18,top 3,8502,6.54%
8,2022-05-16,Sup top 20,3964,3.05%
9,2022-05-16,top 10,60353,46.43%
10,2022-05-16,top 20,55306,42.54%
11,2022-05-16,top 3,10377,7.98%
12,2022-05-30,Sup top 20,1273,0.98%
13,2022-05-30,top 10,63819,49.09%
14,2022-05-30,top 20,53261,40.97%
15,2022-05-30,top 3,11647,8.96%
