,date,Ranking range,count,Share
0,2022-01-31,11-20,1972,1.52%
1,2022-01-31,4-10,40466,31.13%
2,2022-01-31,top 3,87562,67.36%
3,2022-05-02,11-20,1724,1.33%
4,2022-05-02,4-10,39442,30.34%
5,2022-05-02,top 3,88834,68.33%
6,2022-05-30,11-20,1478,1.14%
7,2022-05-30,4-10,34994,26.92%
8,2022-05-30,top 3,93528,71.94%
9,2022-06-06,11-20,1431,1.1%
10,2022-06-06,4-10,33673,25.9%
11,2022-06-06,top 3,94896,73.0%
