,date,Ranking range,count,Share
0,2022-04-11,11-20,1761,1.35%
1,2022-04-11,4-10,37521,28.86%
2,2022-04-11,top 3,90718,69.78%
3,2022-06-13,11-20,1307,1.01%
4,2022-06-13,4-10,39358,30.28%
5,2022-06-13,top 3,89335,68.72%
6,2022-06-27,11-20,1371,1.05%
7,2022-06-27,4-10,40763,31.36%
8,2022-06-27,top 3,87866,67.59%
9,2022-07-04,11-20,1305,1.0%
10,2022-07-04,4-10,35368,27.21%
11,2022-07-04,top 3,93327,71.79%
