,date,Ranking range,count,Share
0,2022-03-21,Sup top 20,120,0.11%
1,2022-03-21,top 10,53805,49.36%
2,2022-03-21,top 20,17600,16.15%
3,2022-03-21,top 3,37475,34.38%
4,2022-05-02,Sup top 20,16,0.01%
5,2022-05-02,top 10,55684,51.09%
6,2022-05-02,top 20,14843,13.62%
7,2022-05-02,top 3,38457,35.28%
8,2022-05-16,Sup top 20,19,0.02%
9,2022-05-16,top 10,56502,51.84%
10,2022-05-16,top 20,14352,13.17%
11,2022-05-16,top 3,38127,34.98%
12,2022-05-23,Sup top 20,20,0.02%
13,2022-05-23,top 10,54454,49.96%
14,2022-05-23,top 20,15246,13.99%
15,2022-05-23,top 3,39280,36.04%
