,date,Ranking range,count,Share
0,2022-03-14,Sup top 20,37205,46.62%
1,2022-03-14,top 10,17050,21.36%
2,2022-03-14,top 20,17619,22.08%
3,2022-03-14,top 3,4937,6.19%
4,2022-04-25,Sup top 20,37450,46.93%
5,2022-04-25,top 10,18784,23.54%
6,2022-04-25,top 20,19317,24.21%
7,2022-04-25,top 3,5317,6.66%
8,2022-05-09,Sup top 20,36758,46.06%
9,2022-05-09,top 10,19210,24.07%
10,2022-05-09,top 20,19560,24.51%
11,2022-05-09,top 3,5271,6.6%
12,2022-05-16,Sup top 20,36479,45.71%
13,2022-05-16,top 10,19402,24.31%
14,2022-05-16,top 20,19582,24.54%
15,2022-05-16,top 3,5276,6.61%
