,date,Ranking range,count,Share
0,2022-03-07,11-20,1816,1.4%
1,2022-03-07,4-10,40917,31.47%
2,2022-03-07,top 3,87267,67.13%
3,2022-05-30,11-20,1478,1.14%
4,2022-05-30,4-10,34994,26.92%
5,2022-05-30,top 3,93528,71.94%
6,2022-06-13,11-20,1307,1.01%
7,2022-06-13,4-10,39358,30.28%
8,2022-06-13,top 3,89335,68.72%
9,2022-06-20,11-20,1407,1.08%
10,2022-06-20,4-10,40384,31.06%
11,2022-06-20,top 3,88209,67.85%
